S_no,Country,City,City to country name
184,Europe,,New Delhi to Europe
185,Europe,,Nizamabad to Europe
186,Europe,,Noida to Europe
187,Europe,,Okhla to Europe
188,Europe,,Panipat to Europe
189,Europe,,Paradip to Europe
190,Europe,,Patiala to Europe
191,Europe,,Pune to Europe
192,Europe,,Rajkot to Europe
193,Europe,,Rourkela to Europe
194,Europe,,Siliguri to Europe
195,Europe,,Sonipat to Europe
196,Europe,,Surat to Europe
197,Europe,,Tirupati to Europe
198,Europe,,Tiruppur to Europe
199,Europe,,Udaipur to Europe
200,Europe,,Vadodara to Europe
201,Europe,,Varanasi to Europe
202,Europe,,Vijayawada to Europe
203,Europe,,Visakhapatnam to Europe
204,Europe,,Warangal to Europe
205,Germany,,Agra to Germany
206,Germany,,Ahmedabad to Germany
207,Germany,,Amritsar to Germany
208,Germany,,Aurangabad to Germany
209,Germany,,Bawana Industrial Area to Germany
210,Germany,,Belagavi to Germany
211,Germany,,Bengaluru to Germany
212,Germany,,Bhilwara to Germany
213,Germany,,Bhopal to Germany
214,Germany,,Bhubaneswar to Germany
215,Germany,,Chennai to Germany
216,Germany,,Coimbatore to Germany
217,Germany,,Cuttack to Germany
218,Germany,,Dewas to Germany
219,Germany,,Dharwad to Germany
220,Germany,,Durgapur to Germany
221,Germany,,Erode to Germany
222,Germany,,Faridabad to Germany
223,Germany,,Gandhidham to Germany
224,Germany,,Gurugram to Germany
225,Germany,,Guntur to Germany
226,Germany,,Gwalior to Germany
227,Germany,,Howrah to Germany
228,Germany,,Hubballi to Germany
229,Germany,,Hyderabad to Germany
230,Germany,,Indore to Germany
231,Germany,,Jabalpur to Germany
232,Germany,,Jaipur to Germany
233,Germany,,Jalandhar to Germany
234,Germany,,Jodhpur to Germany
235,Germany,,Kakinada to Germany
236,Germany,,Kanpur to Germany
237,Germany,,Karimnagar to Germany
238,Germany,,Karnal to Germany
239,Germany,,Kolkata to Germany
240,Germany,,Kota to Germany
241,Germany,,Ludhiana to Germany
242,Germany,,Madurai to Germany
243,Germany,,Mangaluru to Germany
244,Germany,,Mohali to Germany
245,Germany,,Moradabad to Germany
246,Germany,,Mumbai to Germany
247,Germany,,Mundra to Germany
248,Germany,,Mysuru to Germany
249,Germany,,Nagpur to Germany
250,Germany,,Naraina to Germany
251,Germany,,Nashik to Germany
252,Germany,,New Delhi to Germany
253,Germany,,Nizamabad to Germany
254,Germany,,Noida to Germany
255,Germany,,Okhla to Germany
256,Germany,,Panipat to Germany
257,Germany,,Paradip to Germany
258,Germany,,Patiala to Germany
259,Germany,,Pune to Germany
260,Germany,,Rajkot to Germany
261,Germany,,Rourkela to Germany
262,Germany,,Siliguri to Germany
263,Germany,,Sonipat to Germany
264,Germany,,Surat to Germany
265,Germany,,Tirupati to Germany
266,Germany,,Tiruppur to Germany
267,Germany,,Udaipur to Germany
268,Germany,,Vadodara to Germany
269,Germany,,Varanasi to Germany
270,Germany,,Vijayawada to Germany
271,Germany,,Visakhapatnam to Germany
272,Germany,,Warangal to Germany
273,UK,,Agra to UK
274,UK,,Ahmedabad to UK
275,UK,,Amritsar to UK
276,UK,,Aurangabad to UK
277,UK,,Bawana Industrial Area to UK
278,UK,,Belagavi to UK
279,UK,,Bengaluru to UK
280,UK,,Bhilwara to UK
281,UK,,Bhopal to UK
282,UK,,Bhubaneswar to UK
283,UK,,Chennai to UK
284,UK,,Coimbatore to UK
285,UK,,Cuttack to UK
286,UK,,Dewas to UK
287,UK,,Dharwad to UK
288,UK,,Durgapur to UK
289,UK,,Erode to UK
290,UK,,Faridabad to UK
291,UK,,Gandhidham to UK
292,UK,,Gurugram to UK
293,UK,,Guntur to UK
294,UK,,Gwalior to UK
295,UK,,Howrah to UK
296,UK,,Hubballi to UK
297,UK,,Hyderabad to UK
298,UK,,Indore to UK
299,UK,,Jabalpur to UK
300,UK,,Jaipur to UK
301,UK,,Jalandhar to UK
302,UK,,Jodhpur to UK
303,UK,,Kakinada to UK
304,UK,,Kanpur to UK
305,UK,,Karimnagar to UK
306,UK,,Karnal to UK
